intent_name,examples,label
ayuda,ayudaa,0
ayuda,ayudaaaa,0
ayuda,ayuda,0
ayuda,ayudwa,0
ayuda,ayuudaaaaa,0
reserva_matricula__formato_solicitud,la solicitud de reserva de matricula es solo una solicitud simpre dirigida al decano?,1
reserva_matricula__formato_solicitud,si tambien puedes decirme si hay algun formato para la solicitud de reserva de matricula ?,1
reserva_matricula__formato_solicitud,hay algun formato para la solicitud de reserva de matricula ?,1
reserva_matricula__formato_solicitud,que formato debe tener la solicitud de reserva de matricula?,1
reserva_matricula__formato_solicitud,puedes decirme donde encuentro un modelo de solicitud para la reserva de matricula ?,1
reserva_matricula__formato_solicitud,tengo un duda cual es el modelo o formato para la solicitud de reserva de matricula,1
reserva_matricula__formato_solicitud,cual es el formato de solicitud para la reserva de matricula ?,1
reserva_matricula__formato_solicitud,¿cuál es el modelo de solicitud para la reserva de matricula?,1
reserva_matricula__formato_solicitud,quiero solicitar mi reserva de matricula me puedes enviar el modelo para solicitud,1
reserva_matricula__formato_solicitud,puedes decirme si hay algun formato para la solicitud de reserva de matricula,1
reserva_matricula__formato_solicitud,si hay algun formato o modelo para la solicitud de reserva de matricula,1
reserva_matricula__formato_solicitud,me puedes enviar un modelo para la solicitud de reserva de matricula porfavor,1
reserva_matricula__formato_solicitud,que informacion debo colocar en la solicitud para la reserva de matricula?,1
reserva_matricula__formato_solicitud,en donde puedo encontar un modelo para la solicitud de reserva de matricula?,1
reserva_matricula__formato_solicitud,puedes decirme si hay algun modelo para la solicitud de reserva de matricula?,1
reserva_matricula__formato_solicitud,existe algun modelo para la solicitud de reserva de matricula ?,1
reserva_matricula__formato_solicitud,puedes enviarme el modelo para la solicitud de reserva de matricula,1
reserva_matricula__formato_solicitud,si tambien puedfs decirme si hay algun formaot para la solicitud de reserva de matricual ?,1
reserva_matricula__formato_solicitud,puedes decirme donde encuenttro un modelo de solicitu para la recerba de matricula ?,1
reserva_matricula__formato_solicitud,q formato ddebe tener la solicitud de reserva de matdicula ?,1
reserva_matricula__formato_solicitud,quiero solisitar mi reserba de matricula me puedes enviar el modelo para solisitud,1
reserva_matricula__formato_solicitud,puedes decirme si hay lugn formato para la solisitud de recerva de matricula,1
reserva_matricula__formato_solicitud,¿ cuál es el modello de soliciitud para la reserva de matricula ?,1
reserva_matricula__formato_solicitud,existe alguun modelo para la soliditud de reserva de matricula ?,1
reserva_matricula__formato_solicitud,puedes secirme si hay algun modelo para la solisitud de reserba de matricula ?,1
reserva_matricula__formato_solicitud,hay algun formato para la solicitudd de recerva de matricula ?,1
reserva_matricula__formato_solicitud,ccual es el formaato de solicitud para la reserva de matricula ?,1
reserva_matricula__formato_solicitud,la solisitud de recerba de matricula es solo una solisitud simpre dirigida al decano ?,1
pago_fechas,cuando es la fecha limite para pagarlo,2
pago_fechas,en que fechas se realiza el pago,2
pago_fechas,esta semana ya puedo realizar el pago?,2
pago_fechas,si hasta que dia lo puedo pagar,2
pago_fechas,aun es posible pagarlo?,2
pago_fechas,que dia puedo realizar el pago?,2
pago_fechas,hasta que fechas puedo pagarlo,2
pago_fechas,cual es la fecha limite para el pago?,2
pago_fechas,esta semana todavia puedo pagarlo,2
pago_fechas,hasta que dia se puede pagar?,2
pago_fechas,hasta que semana lo podria pagar,2
pago_fechas,todavía puedo pagarlo?,2
pago_fechas,cual es la fecha maxima en que se puedria pagar?,2
pago_fechas,hasta cuando tengo para pagarlo,2
pago_fechas,¿hasta cuando puedo realizar el pago?,2
pago_fechas,ya puedo pagarlo?,2
pago_fechas,aun se puede pagar en estos dias?,2
pago_fechas,cuando es el ultimo dia en que deberia pagarlo?,2
pago_fechas,debo pagarlo hasta cuando,2
pago_fechas,aun es posible paagarlo ?,2
pago_fechas,hasta q semana lo podria pazr,2
pago_fechas,qeu dia puedo realisar el pago ?,2
pago_fechas,hasta qeu fechas puddo pagarlo,2
pago_fechas,cual es la fech limite para el apgo ?,2
pago_fechas,cuql es la fecha maxima en qque se puedria pagar ?,2
pago_fechas,vuando es el ultimo diia en que deberia pagarlo ?,2
pago_fechas,aun se puede pgar en estos diqs ?,2
pago_fechas,ucando es la fecha limiet para pagarlo,2
pago_fechas,todavía puedo lagarlo ?,2
pago_fechas,ya puedo ppagarlo ?,2
pago_fechas,esta ssemana todadia puedo pagarlo,2
retiro_total__formato_solicitud,"voy a solicitar el retiro total, cual es el modelo para la solicitud",3
retiro_total__formato_solicitud,una duda porfavor existe algun modelo o formato para la solicitud de retiro total,3
retiro_total__formato_solicitud,quisiera que me envien el formato para la solicitud de retiro total porfavor,3
retiro_total__formato_solicitud,en que parte puedo encontra el modelo para la solicitud retiro total,3
retiro_total__formato_solicitud,quiero solicitar el retiro total me puedes enviar el modelo para la solicitud,3
retiro_total__formato_solicitud,¿cuál es el modelo para la solicitud de retiro total?,3
retiro_total__formato_solicitud,debo colocar mi dni en la solicitud de retiro total?,3
retiro_total__formato_solicitud,que informacion necesito colocar en la solicitud de retiro total?,3
retiro_total__formato_solicitud,dónde está el modelo de solicitud para el retiro total?,3
retiro_total__formato_solicitud,donde puedo encontrar un modelo para la solicitud de retiro total,3
retiro_total__formato_solicitud,donde encuentro un modelo para la solicitud de retiro total?,3
retiro_total__formato_solicitud,hay algun formato o modelo para la solicitud de retiro total,3
retiro_total__formato_solicitud,que informacion debo colocar el la solicitud para el retiro total,3
retiro_total__formato_solicitud,una consulta hay algun modelo para la solicitud de retiro total,3
retiro_total__formato_solicitud,como debo redactar la solicitud del retiro total?,3
retiro_total__formato_solicitud,"hola aeito, un favor necesito el modelo para la solcitud de retiro total me lo pudes enviar porfavor?",3
retiro_total__formato_solicitud,hay algun formato especial para el retiro total?,3
retiro_total__formato_solicitud,"este ciclo voy a hacer el retiro total por motivos de fuerza mayor, quisiera el modelo para la solicitud",3
retiro_total__formato_solicitud,en que parte puedo encontra el modelo para la sloicitud retiroo tota,3
retiro_total__formato_solicitud,"ola aeito , un favor nesesito el modelo para la solcitud de retirro total me lo pdes enviar porfavor ?",3
retiro_total__formato_solicitud,una duda porfavor existe agun mmodelo o formato para la solisitud de retiro total,3
retiro_total__formato_solicitud,que informacio necesito oclocar en la solicitud de rtiro total ?,3
retiro_total__formato_solicitud,quue informacino debo colocar el la solicitud para el retiro tottal,3
retiro_total__formato_solicitud,¿ cuál es el modleo para la solisitud de retiro total ?,3
retiro_total__formato_solicitud,debo colocar mi dni en la solisitud de retiiiro total ?,3
retiro_total__formato_solicitud,dónde está el modelo de solisitud para el reitro total ?,3
retiro_total__formato_solicitud,hay allgun formato especial para el retirro total ?,3
retiro_total__formato_solicitud,quiero solisitar el rteiro total me puedes enviar el modelo para la solisitud,3
retiro_total__formato_solicitud,quisiera q me envien el fomato para la solicitu de retiro total porfavor,3
reserva_matricula__fechas,cual es la fecha para enviar la solicitud de reserva de matricula,4
reserva_matricula__fechas,¿hasta que dias puedo enviar la solicitud de reserva de matricula ?,4
reserva_matricula__fechas,hasta cuando puedo tramitar la reserva de matricula ?,4
reserva_matricula__fechas,hasta que dias podria enviar la solicitud de reserva de matricula entonces,4
reserva_matricula__fechas,y hasta cuando podria enviar la solicitud de reserva de matricula ?,4
reserva_matricula__fechas,si donde puedo encontrar las fechas para hacer la reserva de matricula,4
reserva_matricula__fechas,"la matricula ya va ser la siguiente semana pero no podre matricularme, aun puedo enviar mi solicitud de reserva de matricula",4
reserva_matricula__fechas,"este ciclo que esta por comenzar no me voy a matricular, me puedes decir cual es la fecha limite para enviar mi solicitud",4
reserva_matricula__fechas,¿hasta cuándo tengo tiempo para presentar mi solicitud de reserva de matricula?,4
reserva_matricula__fechas,podria solicitar este semana mi reserva de matricula?,4
reserva_matricula__fechas,puedo presentar mi solicitud de reserva de matricula si el ciclo empieza la proxima semana?,4
